EXP001,Une pédagogie moderne au cœur de votre institution – Transformez les pratiques d'enseignement de votre établissement grâce au Cloud !,Productivity
EXP002,"Azure Market Place, retour d'expérience et nouveauté 2016",Productivity
EXP003,Big data et ML : Retour d’expérience sur l’impact business de ces technologies ,Productivity
EXP004,Accroitre votre business via le réseau de partenaires Microsoft,Intelligent Cloud
EXP005,Les programmes d'accompagnement Microsoft pour les ISVs,Intelligent Cloud
EXP006,Usages collaboratifs et réseau social d'entreprise : vers la transformation des métiers ? ,Intelligent Cloud
EXP007,Mulhouse ville de toutes les intelligences,More PC
EXP008,"Demain, toutes les entreprises seront-elles des ""Software Companies"" ?",More PC
EXP009,Quelles sont les nouvelles recettes de l'innovation ?,Intelligent Cloud
EXP010,Blockchain au-delà de la finance : pourquoi toutes les industries sont concernées,Productivity
EXP011,"""IoT"" : TBD",More PC
EXP012,PME & Startups : concurrents ou exemples à suivre ?,More PC
EXP013,« In tech we trust » : comment ne pas choisir entre Sécurité et Innovation ?,Productivity
EXP014,Bureau du futur - Campus Connecté : etat des lieux ! ,Productivity
EXP015,Expérience employé : quel chemin vers le digital work ? ,Intelligent Cloud
EXP016,"Entreprise libérée, holacracy, organisation agile, vers de nouveaux modèles d'organisation ? ",More PC
EXP017,Bonheur au travail et transformation digitale : quelles opportunités ? ,Productivity
EXP018,Ce que les technologies de mobilité apportent au business ,Intelligent Cloud
EXP019,"Protéger ses données, identités & appareils avec Windows 10",Productivity
EXP020,Bien appréhender le concept de Windows As a Service,Productivity
EXP021,Gestion de Windows 10 et des applications dans l'entreprise moderne,More PC
EXP022,Comment réussir son déploiement de Windows 10,More PC
EXP023,Quels nouveaux enjeux pour le digital Banking ? Philippe Taboret - Directeur Général de CAFPI vous présente sa transformation digitale,More PC
EXP024,Proposez à vos clients une expérience d’achat personnalisée sur tous les canaux ,More PC
EXP025,Comment GitHub utilise GitHub,More PC
EXP026,Comment capitaliser sur les réseaux sociaux pour booster vos ventes et optimiser votre service client ?,More PC
EXP027,CRM & Data Quality en B2B => Comment optimiser l'identification et le suivi de vos clients et prospects?,More PC
EXP028,"Intelligence Artificielle, Bots, Cognitive Services - quel futur pour la gestion de la relation client ?",More PC
EXP029,Boostez la productivité de votre service client!,More PC
EXP030,"CSS, c’est pas de la science-fiction ",More PC
EXP031,Machine learning : état de l'art et mise en oeuvre,Intelligent Cloud
EXP032,L’Internet des Objets se construit maintenant,More PC
EXP033,"SharePoint 2016 : architecture, déploiement et topologies hybrides",Intelligent Cloud
EXP034,Déployez la téléphonie Skype Entreprise dans le Cloud,More PC
EXP035,"Construisons des application vraiment universelles avec Windows, Xamarin et MVVM",More PC
EXP036,Bien choisir ses outils collaboratifs Office 365,More PC
EXP037,SharePoint Framework : le développement SharePoint nouvelle génération,More PC
EXP038,Office 365 Dev PnP & PowerShell : exploitez enfin le potentiel de votre écosystème Office 365,More PC
EXP039,"Open Source et Microsoft Azure, rêve ou réalité ?",More PC
EXP040,"Développement, debug et déploiement d’applications conteneurisées avec Docker",Intelligent Cloud
EXP041,Applications cloud : et si le futur était serverless ?,More PC
EXP042,Azure Service Fabric pour les développeurs,More PC
EXP043,"Modélisation, déploiement et gestion des infrastructures Cloud : outils et bonnes pratiques",Intelligent Cloud
EXP044,Stockage Cloud : il y en aura pour tout le monde,Productivity
EXP045,Infrastructure : vers un monde de Clouds,More PC
EXP046,Azure Stack : de l'Azure dans votre Datacenter,Productivity
EXP047,Windows Server 2016 : du Windows Server puissance 2016,Intelligent Cloud
EXP048,Conteneurs Linux ou Windows : quelles approches pour des IT agiles ?,Productivity
EXP049,Administration et supervision depuis le Cloud avec Azure Logs Analytics,Intelligent Cloud
EXP050,"""PME , faites du marketing digital votre force de vente 24h/24h et 7j/7 !",More PC
EXP051,"Office 365, les groupes, les bots, les connecteurs et le Microsoft Graph au service de la productivité",More PC
EXP052,Le développement web : tour d'horizon,More PC
EXP053,"Quelles architectures pour vos applications Cloud, de la VM au conteneur : ça PaaS ou ça CaaS ?",More PC
EXP054,Windows 10 : les nouveautés de la plateforme universelle (UWP),More PC
EXP055,Les nouveautés de C# 7,More PC
EXP056,Rendez vos applications plus humaines avec Cognitive Services,More PC
EXP057,Plan de Reprise d'Activité avec Azure Site Recovery,More PC
EXP058,La Blockchain pas à PaaS,Productivity
EXP059,"JavaScript : le futur, c'est maintenant !",Productivity
EXP060,Analyse avancée avec la plateforme Microsoft,More PC
EXP061,Objets connectés (IOT) et Big Data,Productivity
EXP062,"Tester, Monitorer et Déployer son application mobile",Productivity
EXP063,Les grands défis de l'Industrie 4.0 décryptés par Le Boston Consulting Group ,More PC
EXP064,L'évolution du métier du DAF induite par la transformation digitale ,Intelligent Cloud
EXP065,Business & Marketing l'histoire de la transformation de Microsoft ,More PC
EXP066,"ERP dans le Cloud, cette union fera-t-elle votre force demain ? ",Intelligent Cloud
EXP067,"Lancer son offre au niveau mondial en moins d'une semaine, mythe ou réalité ? ",More PC
EXP068,"Keynote ""PME & Startups : concurrents ou exemples à suivre ?""",Productivity
EXP069,Créer un bot de A à Z,Intelligent Cloud
EXP070,Linux et Microsoft [TBD],More PC
EXP071,Toutes les données ne rentrent pas dans les cases ! ,More PC
EXP072,"Gérer ses données dans le cloud, à demeure, ou en hybride ? 1+1=3",More PC
EXP073,Business Intelligence,More PC
EXP074,Sécurité des données,Intelligent Cloud
EXP075,Enfin un peu d'intelligence artificielle: réseaux neuronaux profonds et apprentissage par renforcement,Productivity
EXP076,Objets connectés (IOT) et Cognitive Services,More PC
EXP077,Authentification sans mot de passe FIDO 2 avec FranceConnect de l'état plateforme,Productivity
EXP078,Protéger vos données avec le chiffrement dans Azure et Office 365,More PC
EXP079,Tour d'horizon des services de sécurité et de contrôle d'accès pour Azure ,Intelligent Cloud
EXP080,Tour d'horizon de solutions Microsoft de protection de patrimoine informationnel,More PC
EXP081,La stratégie identité de Microsoft,More PC
EXP082,Boostez vos équipes commerciales avec un champion olympique,Productivity
EXP083,Les nouveaux scénarios de la data et leur mise en œuvre,Intelligent Cloud
EXP084,"Uwp + Xamarin - Développer son application mobile en C# pour Windows, Android et iOS",More PC
EXP085,Plénière d'ouverture,More PC
EXP086,"Editeurs, startups : le cloud promet d'accélérer votre business ! Quels impacts techniques pour vos applications ?",Productivity
EXP087,"Asp.Net Core 1.0, Microsoft Azure et gestion d'APIs : les dessous de la plateforme Microsoft Expériences",More PC
EXP088,"Microsoft Composition, pierre angulaire de vos applications ?",Intelligent Cloud
EXP089,Adopte un DSI ,More PC
EXP090,Vos employés ? votre 1ere richesse ! vos ambassadeurs !,More PC
EXP091,Les 7 règles d’or pour protéger sa TPE/PME !,More PC
EXP092,"Transformation de la représentation : De la VR à la VA, aller & retour.",Productivity
EXP093,"Retail, Bots, intelligence Artificielle, Design & Usages: Les clefs de l'innovation.",Productivity
